Name,Serving,Calories,Fat,Carbs,Proteins
A Cheesecake Named Desire (Petite),1 serving (202 g),570,25g,76g,6g
A Cheesecake Named Desire (Lrg Rectangle),1 serving (115 g),320,15g,41g,3g
A Cheesecake Named Desire (Sm Round),1 serving (137 g),390,19g,50g,4g
A La Carte Chicken Salad,4 oz scoop (4 oz),180,8g,4g,23g
A Complete Salad Caesar Style,1 1/2 cups with dresssing (100 g),130,7g,13g,6g
A La Mode,1 serving,140,8g,16g,2g
A Hint of Monterey Strawberry,1 container (150 g),120,2.5g,11g,12g
A Cheesecake Named Desire (Sm Rectangle),1 serving (132 g),370,17g,48g,4g
A Handful of Tiny Dark Chocolate Covered Pretzels,10 pretzels (28 g),140,6g,19g,2g
A Cheesecake Named Desire (Lrg Round),1 serving (136 g),390,19g,50g,4g
A Hint of Alphonso Mango,1 container (150 g),120,2.5g,11g,12g
A La Carte Chicken Tenders,1 container,340,5g,46g,28g
A Handful of Everything Trail Mix,1/3 cup (38 g),170,7g,25g,2g
A Hint of Wild Blueberry,1 container (150 g),120,3g,11g,12g
A Complete Salad Baby Spinach,1 cup with dressing (113 g),280,22g,19g,4g
A Hint of Gili Cherry Greek Yogurt,1 container (150 g),110,2.5g,10g,12g
A Hint of Madagascar Vanilla & Cinnamon,1 container (150 g),120,3g,10g,12g
A La Carte Red Pepper Egg White Bites,2 bites,170,8g,11g,12g
A Fruitful Medley,5 oz (142 g),60,0g,16g,1g
A.M. Blueberry,1 serving (55 g),230,9g,29g,10g
A Trio of Almonds,1/4 cup (33 g),200,15g,9g,8g
A Za’Atar Tango Salad Kit,2 1/2 cups (100 g),170,12g,14g,4g
A.M. Oats,1 cup (62 g),260,8g,35g,12g
A La Mode,1 serving,400,24g,36g,8g
A&w Cream Soda - 20 oz,1 serving (20 oz),300,0g,78g,0g
A.M. Superfoods Bowl,1 serving,960,54g,104g,21g
A&w Root Beer - 12 fl oz,1 serving (12 oz),170,0g,44g,0g
A.1 Steak Sauce,1 tbsp (17 g),15,0g,3g,0g
A&W Root Beer - 21 fl oz,1 serving (21 oz),310,0g,77g,0g
A Twixted Treat,2 tbsp (28 g),155,10g,10g,7g
A Wreck Sandwich on Multigrain Wheat,1 sandwich,597,25g,58g,36g
A&w Cream Soda - 2 liter,1 serving (2000 ml),1010,0g,262g,0g
A Sandwich Study of Heat,1 sandwich (14.8 oz),720,26g,76g,40g
A Trio of Chocolate Boules,3 pieces (36 g),200,13g,18g,2g
A+ Liver,1 serving (3.2 g),14,0.49g,0.44g,1.85g
A&w Root Beer - 2 liter,1 serving (2000 ml),1010,0g,262g,0g
A&w Root Beer - 20 oz,1 serving (20 oz),300,0g,78g,0g
A&W Root Beer - 32 fl oz,1 serving (32 oz),460,0g,117g,0g
A.1. Sauce,1 serving (17 g),15,0g,3g,0g
Abba-Zaba,1 bar (12.05 g),250,5g,48g,2g
A-1 Buffalo,1 container (12 oz),401,17g,32g,30g
A2/A2 Organic Sour Cream Probiotic,2 tbsp (30 g),80,8g,1g,1g
A2 Fat Free Milk,1 cup (240 ml),130,0g,18g,13g
A2/A2 Grass Fed Yogurt,3/4 cup (170 g),120,7g,9g,6g
A1 Steak Sauce,1 tbsp (16 g),15,0g,3g,0g
A2 Organic Whole Milk Yogurt,¾ cup (170 g),115,8g,5g,8g
A1 Steak Sauce Beef Jerky,1 oz (28 g),80,1g,5g,12g
ABC Bars,1 bar (35 g),160,8g,19g,4g
Abalone Porridge,1 container (420 g),200,3g,36g,8g
A1 Beef and Rice,1 serving,392,8g,53g,27g
A2 Milk,1 cup (240 ml),210,14g,11g,8g
A1 Steak Sauce - Cracked Peppercorn,1 tbsp (17 g),15,0g,3g,0g
Abbracci,1 biscotto (11 g),53,2.4g,6.9g,0.8g
ABC,1 serving (12 oz),150,0g,33g,3g
A2 Whole Milk,1 cup (236 ml),170,8g,17g,8g
AB&J Smoothie,1/2 bottle (8 oz),147,6g,15g,7g
Abbey Ale,1 bottle (12 oz),220,0g,5g,0g
Abaloo Polo (Persian Sour Cherry Rice),1 serving,621,31g,72g,15g
ABC Signature Sandwich,1 serving,747,39g,54g,45g
ABC Tater Tots,9 pieces (81 g),160,8g,22g,2g
Abruzzese Italian Style Meatballs,3 meatballs (113 g),320,26g,2g,19g
Abuelita Granulated Chocolate Drink Mix,1 1/2 tbsp (20 g),80,1g,17g,1g
Abruzzese Dry Sausage,1 oz (28 g),90,7g,0g,7g
Abita Root Beer,1 serving,180,0g,44g,0g
ABP Croutons,1 serving (28 g),90,2.5g,14g,3g
Abuelita Hot Chocolate,1 packet (24 g),100,2.5g,19g,0g
Absolut Bloody Mary,1 serving,370,11g,5g,10g
Abuellita Authentic Mexican Style Chocolate Instant Flavored Drink,1/4 tablet (23 g),100,3.5g,18g,1g
Absolutely! Grain Free - Everything Flatbreads,1 serving (14 g),70,2g,12g,0g
Absinthe Basil Bliss Chicken Patties,1 patty (151 g),240,9g,10g,27g
ABC Trek Mix,1/4 cup (28 g),140,10g,11g,4g
Abuellita Authentic Mexican Style Chocolate Envelope Instant Drink Mix,1 envelope (28 g),70,1g,17g,1g
Abuelita Hot Chocolate (Packet),1 packet (28 g),120,3g,20g,3g
Absolute Best Fish Sandwich,1 serving,1200,72g,101g,40g
Absolutely Zero,8 fl oz (240 ml),10,0g,2g,0g
Absolut Mango Crush,1 serving,130,0g,22g,1g
Absolute Black,1/4 bar (25 g),150,14g,6g,3g
Abuelita Chocolate Syrup,2 tbsp (38 g),100,0g,25g,0g
ABC Signature Sandwich with Kettle,1 serving,897,48g,70g,46g
Acai & Cherry Smoothie,1 package (197 g),140,2g,30g,3g
Acai Berry Classic,8 fl oz (240 ml),120,1g,28g,1g
Acai (Small),1 smoothie (22 oz),370,7g,76g,3g
Acai Berry + Vanilla,8 fl oz (240 ml),190,6g,26g,8g
Acai Bowl,1 bowl (16 oz),444,12g,81.68g,10g
Acai Banana Berry Bowl,1 bowl,420,14g,69g,9g
Acai Berry Super Juice Drink,8 fl oz (240 ml),80,1g,17g,0g
Acai Blueberry Pomegranate,8 fl oz (240 ml),2,0g,0g,0g
Acai Berry Juice,8 fl oz (240 ml),100,1g,23g,1g
Acacia Fiber,1 level tbsp (6.5 g),25,0g,6g,0g
Acai Berry Juice,8 fl oz (237 ml),120,0g,30g,1g
Acai Berry Boost Smoothies,1 serving,470,2g,113g,1g
Acai,1 packet  (110 g),70,1g,8g,10g
Abundance Oatmeal - Apples & Cinnamon,1 pouch (42 g),160,2.5g,28g,5g
Acai Amazon Blast,8 fl oz (240 ml),240,5g,38g,7g
Acai Berry with Blueberry Juice,8 fl oz (240 ml),140,0g,33g,0g
Açaí Berry Smoothie Pack,1 pack (100 g),111,6g,13g,1g
Abundance Oatmeal - Maple & Brown Sugar,1 pouch (43 g),160,2.5g,28g,5g
Açaí Beach Bowl,1 bowl,500,16g,87g,7g
Açaí Berry,1 bottle (296 ml),150,1g,34g,1g
Acai Energy 20 oz,1 serving (20 oz),390,12g,70g,5g
Acai Bowl Berry Bliss,1 bowl with toppings (173 g),230,3.5g,41g,3g
Açaí Energizer Smoothie,12 fl oz (355 ml),167,1g,36g,2g
Acai Energy Smoothie (Regular),1 serving (21 oz),320,3g,71g,1g
Açaí Bowl,1 serving,560,12g,112g,7g
Açai Cocoa Haze Bowl,1 serving,610,21g,105g,6g
Acai Energy Drink,8 fl oz,110,0g,31g,0g
Acai Original,8 fl oz (240 ml),100,0g,26g,0g
Acai Bowl,1 serving,540,17g,100g,6g
Acai Peanut Butter Bowl,1 bowl,640,23g,104g,14g
Acai Energy 16 oz,1 serving (16 oz),280,10g,48g,3g
Açaí Bowls,1 bowl (227 g),270,9g,45g,5g
Açaí Bowl,1 container,230,10g,50g,10g
Açaí Bowl,1 bowl (170 g),220,7g,41g,4g
Açaí Chunks with Dragon Fruit,1 cup (140 g),90,3g,14g,0g
Acai Bowl,1 bowl,564,13g,109g,6g
Açaí Energizing Power,1 cup (227 g),150,4.5g,26g,3g
Acai Juice,1 bottle (10 oz),130,0g,33g,0g
Açaí Bowl Peanut Butter Power,1 bowl (173 g),290,10g,44g,12g
Açaí Bowl,6 oz (170 g),210,6g,35g,3g
Acai Superfruit with Guarana,1 pack (2.3 oz),70,4g,9g,1g
Açaí Powder,1 tsp (3 g),15,0.5g,2g,0g
Acai Sorbet,1/2 cup (96 g),140,3g,29g,1g
Acai Sorbet,2/3 cup (137 g),170,5g,34g,1g
Acai Super-Antioxidant Smoothie (Medium),1 serving,430,6g,88g,7g
Acai Peanut Butter with Chocolate Hazelnut Bowl,1 serving,620,17g,110g,11g
Acai Superfood Bowl,1 bowl,570,19g,83g,13g
Acai Superfruit Pack,1 pack (100 g),80,7g,4g,1g
Açaí Strawnana Berry Bowl,1 bowl (16 oz),440,7g,92g,3g
Acai Smoothie Pack,1 pack (100 g),100,3.5g,15g,1g
Acai Primo Bowl,1 serving,480,8g,99g,8g
Acai Protein Bowl,1 bowl (170 g),230,7g,37g,5g
Acai Powder,1 tbsp (3 g),20,1.5g,1g,0g
Acai Protein Smoothie,1 smoothie (24 oz),400,6.1g,59.2g,26.8g
Acai Powder,1 1/2 tsp (3 g),20,1.5g,1g,0g
Acai Tropical Bowl,1 serving,520,10g,102g,8g
